conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,type_of_conflict2,c_epid,c_epno,c_ep_startyear,c_epterm,c_outcome,c_ep_endyear,c_ependdate,c_ependprec,c_ep_durcount,c_ep_dur,version,conflict_type,termination_outcome,any_support,support_count,support_label
231,Myanmar (Burma),Government of Myanmar (Burma),144,NA,KIO,201,NA,1,Kachin,1992,1,1,3,1949-12-31,6,1961-02-28,4,775,NA,NA,NA,775,3,3,23102,2,1961,1,2,1992,1992-12-31,5,32,32,4.2024002,Intrastate,Ceasefire,1,5,External Support
231,Myanmar (Burma),Government of Myanmar (Burma),144,NA,KIO,201,NA,1,Kachin,2019,1,1,3,1949-12-31,6,2011-06-27,1,775,NA,NA,NA,775,3,3,23103,3,2011,1,5,2019,2019-12-31,5,9,9,4.2024002,Intrastate,Other/Unclear,1,5,External Support
232,"China, Taiwan",Government of China,135,NA,Government of Taiwan,137,NA,3,Taiwan strait,1950,1,1,2,1949-10-31,3,1949-10-31,3,710,NA,713,NA,"710, 713",3,2,23201,1,1949,1,5,1950,1950-12-31,5,2,2,4.2024002,Interstate,Other/Unclear,NA,NA,No External Support
232,"China, Taiwan",Government of China,135,NA,Government of Taiwan,137,Government of United States of America,3,Taiwan strait,1954,2,1,2,1949-10-31,3,1954-12-31,5,710,NA,713,2,"710, 713",3,2,23202,2,1954,1,5,1954,1954-12-31,5,1,1,4.2024002,Interstate,Other/Unclear,NA,NA,No External Support
232,"China, Taiwan",Government of China,135,NA,Government of Taiwan,137,Government of United States of America,3,Taiwan strait,1958,2,1,2,1949-10-31,3,1958-12-31,5,710,NA,713,2,"710, 713",3,2,23203,3,1958,1,5,1958,1958-12-31,5,1,1,4.2024002,Interstate,Other/Unclear,NA,NA,No External Support
233,Guatemala,Government of Guatemala,11,NA,Military faction (Guatemala),726,NA,2,NA,1949,1,0,3,1949-07-18,1,1949-07-18,1,90,NA,NA,NA,90,5,3,23301,1,1949,1,3,1949,1949-07-19,1,1,1,4.2024002,Intrastate,Victory,1,4,External Support
233,Guatemala,Government of Guatemala,11,NA,Forces of Carlos Castillo Armas,727,NA,2,NA,1954,1,0,3,1949-07-18,1,1954-06-18,2,90,NA,NA,NA,90,5,3,23302,2,1954,1,4,1954,1954-06-27,1,1,1,4.2024002,Intrastate,Low Activity,1,4,External Support
233,Guatemala,Government of Guatemala,11,NA,FAR I,728,NA,2,NA,1963,1,0,3,1949-07-18,1,1963-07-31,3,90,NA,NA,NA,90,5,3,23303,3,1963,1,5,1963,1963-12-31,5,1,1,4.2024002,Intrastate,Other/Unclear,1,4,External Support
233,Guatemala,Government of Guatemala,11,NA,URNG,732,NA,2,NA,1995,1,1,3,1949-07-18,1,1965-12-31,5,90,NA,NA,NA,90,5,3,23304,4,1965,1,1,1995,1995-12-31,5,31,31,4.2024002,Intrastate,Peace Agreement,1,4,External Support
234,Israel,Government of Israel,121,NA,Hamas,209,NA,1,Palestine,1994,1,1,3,1948-05-15,1,1949-12-31,5,666,NA,NA,NA,666,2,3,23401,1,1949,1,5,1994,1994-12-31,5,46,46,4.2024002,Intrastate,Other/Unclear,1,7,External Support
235,"North Korea, South Korea",Government of North Korea,138,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,139,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,1953,2,1,2,1949-05-31,3,1949-05-31,3,731,"365, 710",732,"100, 2, 20, 200, 210, 211, 212, 220, 350, 530, 560, 640, 800, 840, 900, 920","731, 732",3,2,23501,1,1949,1,2,1953,1953-07-27,1,5,5,4.2024002,Interstate,Ceasefire,NA,NA,No External Support
236,China,Government of China,135,NA,Tibet,213,NA,1,Tibet,1950,1,0,3,1950-10-07,1,1950-10-07,1,710,NA,NA,NA,710,3,3,23601,1,1950,1,3,1950,1950-10-09,1,1,1,4.2024002,Intrastate,Victory,NA,NA,No External Support
236,China,Government of China,135,NA,Tibet,213,NA,1,Tibet,1956,2,1,3,1950-10-07,1,1956-05-31,5,710,NA,NA,NA,710,3,3,23602,2,1956,1,5,1956,1956-12-31,5,1,1,4.2024002,Intrastate,Other/Unclear,NA,NA,No External Support
236,China,Government of China,135,NA,Tibet,213,NA,1,Tibet,1959,2,1,3,1950-10-07,1,1959-03-10,1,710,NA,NA,NA,710,3,3,23603,3,1959,1,3,1959,1959-04-23,1,1,1,4.2024002,Intrastate,Victory,NA,NA,No External Support
237,Indonesia,Government of Indonesia,155,NA,Republic of South Moluccas,214,NA,1,South Moluccas,1950,2,1,3,1950-08-05,1,1950-08-05,1,850,NA,NA,NA,850,3,3,23701,1,1950,1,3,1950,1950-11-15,1,1,1,4.2024002,Intrastate,Victory,NA,NA,No External Support
