conflict_id,location,conflict_type,outcome_order,support_label,support_order,region_label,c_ep_dur,c_ep_startyear,c_ep_endyear
11343,"Egypt, Israel",Interstate,3,No External Support,1,Middle East,1,1967,1967
11343,"Egypt, Israel",Interstate,3,No External Support,1,Middle East,1,1973,1973
13645,Yemen (North Yemen),Intrastate,3,No External Support,1,Middle East,2,2020,2021
14935,Ethiopia,Intrastate,3,No External Support,1,Africa,1,2019,2019
200,Bolivia,Intrastate,4,No External Support,1,Americas,1,1946,1946
200,Bolivia,Intrastate,4,No External Support,1,Americas,1,1952,1952
202,China,Intrastate,4,No External Support,1,Asia,4,1946,1949
208,Laos,Extrasystemic,4,No External Support,1,Asia,8,1946,1953
220,Paraguay,Intrastate,4,No External Support,1,Americas,1,1954,1954
220,Paraguay,Intrastate,4,No External Support,1,Americas,1,1989,1989
225,Costa Rica,Intrastate,4,No External Support,1,Americas,1,1948,1948
226,"Hyderabad, India",Interstate,4,No External Support,1,Asia,1,1948,1948
242,Cuba,Intrastate,4,No External Support,1,Americas,3,1956,1958
250,"Hungary, Russia (Soviet Union)",Interstate,4,No External Support,1,Europe,1,1956,1956
274,"China, India",Interstate,4,No External Support,1,Asia,1,1967,1967
295,Ghana,Intrastate,4,No External Support,1,Africa,1,1966,1966
295,Ghana,Intrastate,4,No External Support,1,Africa,1,1981,1981
312,Pakistan,Intrastate,4,No External Support,1,Asia,1,1971,1971
321,Chile,Intrastate,4,No External Support,1,Americas,1,1973,1973
359,South Yemen,Intrastate,4,No External Support,1,Middle East,1,1986,1986
360,Burkina Faso,Intrastate,4,No External Support,1,Africa,1,1987,1987
362,Comoros,Intrastate,4,No External Support,1,Africa,1,1989,1989
368,"Panama, United States of America",Interstate,4,No External Support,1,Americas,1,1989,1989
381,Haiti,Intrastate,4,No External Support,1,Americas,1,1991,1991
396,Azerbaijan,Intrastate,4,No External Support,1,Europe,1,1993,1993
407,Comoros,Intrastate,4,No External Support,1,Africa,1,1997,1997
422,Myanmar (Burma),Intrastate,4,No External Support,1,Asia,1,1997,1997
431,"Afghanistan, Russia (Soviet Union)",Interstate,4,No External Support,1,NA,1,1979,1979
15283,Central African Republic,Internationalized Intrastate,4,No External Support,1,Africa,1,2015,2015
218,"India, Pakistan",Interstate,1,External Support,2,Asia,2,1964,1965
218,"India, Pakistan",Interstate,1,External Support,2,Asia,1,1971,1971
233,Guatemala,Intrastate,1,External Support,2,Americas,31,1965,1995
260,Lebanon,Intrastate,1,External Support,2,Middle East,1,1958,1958
262,Laos,Internationalized Intrastate,1,External Support,2,Asia,3,1959,1961
262,Laos,Internationalized Intrastate,1,External Support,2,Asia,11,1963,1973
269,Nepal,Intrastate,1,External Support,2,Asia,11,1996,2006
271,Iraq,Intrastate,1,External Support,2,Middle East,10,1961,1970
283,DR Congo (Zaire),Internationalized Intrastate,1,External Support,2,Africa,6,1996,2001
287,Burundi,Intrastate,1,External Support,2,Africa,13,1994,2006
287,Burundi,Intrastate,1,External Support,2,Africa,1,2008,2008
298,South Africa,Intrastate,1,External Support,2,Africa,24,1966,1989
316,El Salvador,Intrastate,1,External Support,2,Americas,13,1979,1991
318,Zimbabwe (Rhodesia),Intrastate,1,External Support,2,Africa,7,1973,1979
320,"South Yemen, Yemen (North Yemen)",Interstate,1,External Support,2,Middle East,1,1972,1972
324,"Iran, Iraq",Interstate,1,External Support,2,Middle East,1,1974,1974
327,Angola,Internationalized Intrastate,1,External Support,2,Africa,5,1998,2002
330,Indonesia,Intrastate,1,External Support,2,Asia,3,1997,1999
332,Mozambique,Intrastate,1,External Support,2,Africa,16,1977,1992
332,Mozambique,Intrastate,1,External Support,2,Africa,2,2013,2014
335,India,Intrastate,1,External Support,2,Asia,10,1979,1988
335,India,Intrastate,1,External Support,2,Asia,1,1992,1992
355,"Burkina Faso, Mali",Interstate,1,External Support,2,Africa,1,1985,1985
366,Indonesia,Intrastate,1,External Support,2,Asia,7,1999,2005
369,Papua New Guinea,Intrastate,1,External Support,2,Asia,1,1990,1990
372,Mali,Internationalized Intrastate,1,External Support,2,Africa,2,2014,2015
375,Senegal,Intrastate,1,External Support,2,Africa,1,2003,2003
